Data,Produto,Cliente,Estado,Valor venda un.,Quantidade
2020-01-04T17:40:35Z,Paleta bovino,Missed Opps,Rondônia,7.24,53
2020-01-04T17:40:35Z,Lagarto,Fleet Random,Ceará,41.09,20
2020-01-04T17:40:35Z,Costelinha,Authority Random,Piauí,41.41,64
2020-01-04T17:40:35Z,Costelinha,Shady Bootz,Tocantis,42.01,81
2020-01-04T17:40:35Z,Chandanga,Destroy Random,Paraná,32.01,77
2020-01-04T17:40:35Z,Cupim maturado,TRUE Random,Distrito Federal,11.05,5
2020-01-04T17:40:35Z,Peito bovino,The Source,Região Sudeste,48.31,93
2020-01-04T17:40:35Z,Contra filé,Muno Random,Roraima,32.35,95
2020-01-06T17:40:35Z,Capa do contra filé,CraftCreate,Maranhão,21.81,78
2020-01-06T17:40:35Z,Lombo,Though Random,Rondônia,36.78,66
2020-01-06T17:40:35Z,Cupim maturado,Odd And Ends,Maranhão,11.34,25
2020-01-06T17:40:35Z,Acém bovino,Find Agenda,Pará,12.05,1
2020-01-06T17:40:35Z,Lagarto,Resource Refresh,Mato Grosso do Sul,40.94,19
2020-01-06T17:40:35Z,Maminha,Cellar Random,Bahia,26.99,74
2020-01-06T17:40:35Z,Picanha,Cowboy Random,Alagoas,16.86,61
2020-01-06T17:40:35Z,Toucinho,Forel Library,Santa Catarina,13.54,97
2020-01-07T17:40:35Z,Toucinho,Lifestyle Random,Santa Catarina,13.65,47
2020-01-07T17:40:35Z,Cupim maturado,Cowboy Random,Santa Catarina,10.74,57
2020-01-07T17:40:35Z,Cupim maturado,FursKips,Bahia,10.91,97
2020-01-08T17:40:35Z,Costelinha,Et Cetera,Região Sudeste,40.57,40
2020-01-08T17:40:35Z,Chandanga,Cellar Random,Sergipe,31.85,75
2020-01-08T17:40:35Z,Paleta bovino,Sense Random,Paraíba,7.93,53
2020-01-08T17:40:35Z,Toucinho,Shady Bootz,Mato Grosso do Sul,13.20,3
2020-01-08T17:40:35Z,Contra filé,PrimeHouse,Região Sudeste,32.06,4
2020-01-08T17:40:35Z,Cupim maturado,Odd And Ends,Rio Grande do Norte,11.45,52
2020-01-08T17:40:35Z,Lagarto,Life Paths,Mato Grosso do Sul,40.79,56
2020-01-08T17:40:35Z,Cupim maturado,XyloFurniture,Acre,10.93,16
2020-01-08T17:40:35Z,Peito bovino,Spray Shop,Região Sul,47.65,47
2020-01-08T17:40:35Z,Peito bovino,Forel Library,Região Norte,48.09,49
2020-01-08T17:40:35Z,Picanha,Odd And Ends,Alagoas,17.30,70
2020-01-08T17:40:35Z,Acém bovino,Nick Knacks,São Paulo,12.02,38
2020-01-08T17:40:35Z,Cupim maturado,Odd And Ends,Região Sul,11.38,78
2020-01-08T17:40:35Z,Capa do coxão mole,PrimeHouse,Rio Grande do Norte,38.87,70
2020-01-08T17:40:35Z,Cupim maturado,Find Agenda,Mato Grosso do Sul,11.15,61
2020-01-08T17:40:35Z,Paleta bovino,Random Repair,Rio Grande do Sul,8.11,20
2020-01-08T17:40:35Z,Cupim maturado,23Rd Century,Roraima,11.07,80
2020-01-08T17:40:35Z,Filé mingnon,Handy Help,Rio de Janeiro,14.74,43
2020-01-09T17:40:35Z,Picanha,Et Cetera,Rondônia,17.27,47
2020-01-09T17:40:35Z,Peito bovino,Random Repair,Paraíba,46.74,24
2020-01-09T17:40:35Z,Cupim maturado,Spiritual Beings,Rondônia,11.45,98
2020-01-09T17:40:35Z,Toucinho,Absent-Minded,Maranhão,13.57,67
2020-01-09T17:40:35Z,Toucinho,Missed Opps,Mato Grosso do Sul,13.87,86
2020-01-09T17:40:35Z,Pexinho bovino,Destroy Random,Mato Grosso do Sul,8.50,25
2020-01-09T17:40:35Z,Cupim maturado,Fleet Random,São Paulo,11.19,45
2020-01-09T17:40:35Z,Cupim maturado,Though Random,Pará,10.70,55
2020-01-09T17:40:35Z,Capa do coxão mole,Muno Random,Ceará,38.91,30
2020-01-09T17:40:35Z,Capa do contra filé,Vappa Shop,Paraíba,22.07,88
2020-01-09T17:40:35Z,Filé mingnon,XyloFurniture,Pernambuco,15.13,10
2020-01-09T17:40:35Z,Maminha,Airhead,Minas Gerais,27.17,60
2020-01-09T17:40:35Z,Capa do coxão mole,Though Random,Ceará,38.79,24
2020-01-10T17:40:35Z,Costela Bovina,Life Paths,Região Sul,35.78,1
2020-01-10T17:40:35Z,Lombo,Odd And Ends,Paraíba,37.13,67
2020-01-10T17:40:35Z,Lombo,Shady Bootz,Mato Grosso do Sul,36.70,93
2020-01-11T17:40:35Z,Toucinho,Destroy Random,Mato Grosso do Sul,13.95,21
2020-01-11T17:40:35Z,Paleta bovino,Spray Shop,Rondônia,7.49,94
2020-01-11T17:40:35Z,Pexinho bovino,Silence Center,Rio Grande do Sul,8.21,76
2020-01-11T17:40:35Z,Contra filé,Essentials,Alagoas,32.20,80
2020-01-11T17:40:35Z,Toucinho,Resource Refresh,Mato Grosso,13.07,89
2020-01-11T17:40:35Z,Contra filé,Handy Help,Minas Gerais,31.59,58
2020-01-11T17:40:35Z,Toucinho,Motion Random,Espírito Santo,13.56,83
2020-01-11T17:40:35Z,Contra filé,Random Repair,Sergipe,31.66,54
2020-01-11T17:40:35Z,Pernil com osso,PrimeHouse,Região Sudeste,35.52,88
2020-01-11T17:40:35Z,Lagarto,The Source,Rio Grande do Norte,40.67,30
2020-01-11T17:40:35Z,Filé mingnon,Shady Bootz,Acre,14.93,77
2020-01-11T17:40:35Z,Pexinho bovino,Airhead,Roraima,8.19,88
2020-01-11T17:40:35Z,Lombo,Sense Random,Mato Grosso do Sul,36.47,72
2020-01-11T17:40:35Z,Lagarto,TRUE Random,Paraná,41.25,56
2020-01-11T17:40:35Z,Alcatra,FirstVictory,Acre,31.41,37
2020-01-11T17:40:35Z,Pernil com osso,Forel Library,Pará,35.78,49
2020-01-11T17:40:35Z,Peito bovino,Missed Opps,Alagoas,47.65,50
2020-01-13T17:40:35Z,Costelinha,Resource Refresh,Rio Grande do Sul,41.90,88
2020-01-13T17:40:35Z,Contra filé,Eclipse Random,Região Sudeste,32.45,34
2020-01-13T17:40:35Z,Paleta bovino,In A Pinch,Roraima,7.79,28
2020-01-13T17:40:35Z,Acém bovino,Lifestyle Random,Ceará,11.78,33
2020-01-14T17:40:35Z,Costelinha,Limner Studio,Pará,41.10,62
2020-01-14T17:40:35Z,Capa do coxão mole,Random Refresh,Maranhão,39.11,62
2020-01-14T17:40:35Z,Cupim maturado,XyloFurniture,Mato Grosso,11.10,2
2020-01-14T17:40:35Z,Pexinho bovino,Missed Opps,Acre,8.86,69
2020-01-14T17:40:35Z,Maminha,In A Pinch,Região Norte,26.67,73
2020-01-14T17:40:35Z,Chandanga,Random Row,Rio Grande do Sul,32.14,93
2020-01-14T17:40:35Z,Pernil com osso,Limner Studio,Região Nordeste,35.79,71
2020-01-14T17:40:35Z,Cupim maturado,Resource Refresh,Região Norte,11.15,83
2020-01-14T17:40:35Z,Acém bovino,Herb Random,Minas Gerais,11.23,46
2020-01-14T17:40:35Z,Capa do contra filé,Et Cetera Systems,Espírito Santo,21.73,19
2020-01-14T17:40:35Z,Toucinho,23Rd Century,Mato Grosso do Sul,12.91,77
2020-01-14T17:40:35Z,Filé mingnon,Empty Particles,Distrito Federal,14.50,32
2020-01-14T17:40:35Z,Costela Bovina,Random Row,Pará,35.80,51
2020-01-14T17:40:35Z,Costelinha,Find Agenda,Região Sul,41.35,32
2020-01-14T17:40:35Z,Pexinho bovino,PrimeHouse,Região Sudeste,8.29,13
2020-01-15T17:40:35Z,Toucinho,Et Cetera,Minas Gerais,12.04,27
2020-01-15T17:40:35Z,Acém bovino,Cellar Random,Mato Grosso,11.78,51
2020-01-15T17:40:35Z,Alcatra,Airhead,Rio de Janeiro,31.19,78
2020-01-15T17:40:35Z,Contra filé,In A Pinch,Alagoas,31.95,11
2020-01-16T17:40:35Z,Contra filé,Node Tech,Acre,31.47,77
2020-01-16T17:40:35Z,Filé mingnon,Puzzles,Amapá,15.08,71
2020-01-16T17:40:35Z,Maminha,Empty Particles,Rio Grande do Norte,26.96,69
2020-01-16T17:40:35Z,Filé mingnon,Motion Random,Rio Grande do Sul,14.66,13
2020-01-16T17:40:35Z,Pexinho bovino,Muno Random,Rio Grande do Sul,8.47,64
2020-01-16T17:40:35Z,Picanha,Vappa Shop,Tocantis,16.38,80
2020-01-16T17:40:35Z,Alcatra,Lifestyle Random,Ceará,30.68,39
2020-01-16T17:40:35Z,Costelinha,Random Reason,São Paulo,41.26,24
2020-01-16T17:40:35Z,Capa do contra filé,Silence Center,Distrito Federal,21.71,70
2020-01-16T17:40:35Z,Toucinho,Pop-Culture,Amazonas,11.65,81
2020-01-16T17:40:35Z,Pexinho bovino,Find Agenda,Amapá,8.44,95
2020-01-16T17:40:35Z,Contra filé,Cowboy Random,Região Sudeste,32.42,77
2020-01-16T17:40:35Z,Contra filé,PrimeHouse,Minas Gerais,31.98,76
2020-01-16T17:40:35Z,Pexinho bovino,Random Row,Tocantis,9.01,3
2020-01-16T17:40:35Z,Chandanga,The Source,Mato Grosso,31.79,33
2020-01-17T17:40:35Z,Peito bovino,Cellar Random,Paraíba,47.77,56
2020-01-17T17:40:35Z,Alcatra,Motion Random,Ceará,30.68,39
2020-01-17T17:40:35Z,Contra filé,Lifestyle Random,Rio Grande do Sul,32.36,24
2020-01-18T17:40:35Z,Lombo,Radiate Random,Goiás,36.95,16
2020-01-18T17:40:35Z,Costela Bovina,Light Random,Piauí,36.44,93
2020-01-18T17:40:35Z,Costelinha,Puzzles,Santa Catarina,42.43,27
2020-01-18T17:40:35Z,Alcatra,Forel Library,Região Norte,31.17,24
2020-01-18T17:40:35Z,Alcatra,Knick Knacks,Paraná,31.03,92
2020-01-18T17:40:35Z,Cupim maturado,Shady Bootz,São Paulo,11.00,6
2020-01-18T17:40:35Z,Lombo,Authority Random,Região Sudeste,36.93,27
2020-01-18T17:40:35Z,Lagarto,PrimeHouse,Paraíba,41.42,46
2020-01-18T17:40:35Z,Capa do contra filé,Destroy Random,Tocantis,21.48,47
2020-01-18T17:40:35Z,Filé mingnon,Though Random,Goiás,14.68,27
2020-01-18T17:40:35Z,Toucinho,Fleet Random,Rio de Janeiro,11.66,14
2020-01-18T17:40:35Z,Pernil com osso,Resource Random,Região Sudeste,35.72,20
2020-01-18T17:40:35Z,Lombo,Cowboy Random,Sergipe,36.91,16
2020-01-18T17:40:35Z,Lombo,Missed Opps,Espírito Santo,36.41,91
2020-01-18T17:40:35Z,Chandanga,In A Pinch,Sergipe,32.60,46
2020-01-18T17:40:35Z,Capa do contra filé,Sporadic Systems,Rio Grande do Sul,21.27,35
2020-01-20T17:40:35Z,Capa do coxão mole,Spray Shop,Rio de Janeiro,39.08,70
2020-01-20T17:40:35Z,Peito bovino,In A Pinch,Região Sul,47.51,76
2020-01-21T17:40:35Z,Cupim maturado,Cowboy Random,Distrito Federal,10.22,74
2020-01-21T17:40:35Z,Lagarto,Cowboy Random,Goiás,42.23,76
2020-01-21T17:40:35Z,Maminha,DualLight,Rondônia,27.10,57
2020-01-21T17:40:35Z,Peito bovino,Cowboy Random,Região Nordeste,48.19,72
2020-01-21T17:40:35Z,Chandanga,Random Repair,Rio de Janeiro,31.80,92
2020-01-21T17:40:35Z,Toucinho,Airhead,Pernambuco,12.44,32
2020-01-21T17:40:35Z,Paleta bovino,DualLight,São Paulo,8.79,51
2020-01-21T17:40:35Z,Maminha,Knick Knacks,Pará,26.36,29
2020-01-22T17:40:35Z,Contra filé,Eclipse Random,Roraima,32.10,89
2020-01-22T17:40:35Z,Maminha,Authority Random,Rio de Janeiro,26.33,56
2020-01-22T17:40:35Z,Picanha,The Source,Região Norte,16.15,70
2020-01-22T17:40:35Z,Filé mingnon,In A Pinch,Alagoas,14.73,94
2020-01-22T17:40:35Z,Costelinha,Nick Knacks,Pernambuco,42.50,86
2020-01-22T17:40:35Z,Chandanga,Resource Refresh,Região Sudeste,31.77,37
2020-01-22T17:40:35Z,Costelinha,FirstVictory,Tocantis,42.14,55
2020-01-22T17:40:35Z,Alcatra,Spray Shop,Ceará,31.48,30
2020-01-23T17:40:35Z,Filé mingnon,Herb Random,Espírito Santo,14.50,15
2020-01-23T17:40:35Z,Picanha,Resource Random,São Paulo,16.60,5
2020-01-23T17:40:35Z,Peito bovino,Destroy Random,Maranhão,48.24,35
2020-01-23T17:40:35Z,Maminha,PrimeHouse,Tocantis,26.85,15
2020-01-23T17:40:35Z,Acém bovino,Odds And Ends,Bahia,11.27,71
2020-01-23T17:40:35Z,Picanha,Shady Bootz,Rio de Janeiro,16.25,94
2020-01-24T17:40:35Z,Filé mingnon,Empty Particles,Rio de Janeiro,14.77,47
2020-01-24T17:40:35Z,Pexinho bovino,Airhead,Minas Gerais,8.84,68
2020-01-24T17:40:35Z,Toucinho,Light Random,Rondônia,11.58,62
2020-01-24T17:40:35Z,Filé mingnon,Random Riders,Sergipe,14.33,43
2020-01-24T17:40:35Z,Alcatra,Et Cetera,Roraima,31.01,84
2020-01-24T17:40:35Z,Chandanga,Handy Help,Região Norte,31.90,78
2020-01-24T17:40:35Z,Capa do contra filé,Random Row,Distrito Federal,21.93,82
2020-01-24T17:40:35Z,Capa do contra filé,Life Paths,Paraná,21.75,57
2020-01-24T17:40:35Z,Filé mingnon,Random Riders,Minas Gerais,14.35,95
2020-01-25T17:40:35Z,Capa do coxão mole,23Rd Century,Roraima,38.80,96
2020-01-25T17:40:35Z,Pexinho bovino,Shady Bootz,Alagoas,8.57,90
2020-01-25T17:40:35Z,Pexinho bovino,DualLight,Região Nordeste,8.38,14
2020-01-25T17:40:35Z,Peito bovino,Resource Refresh,Paraná,48.11,59
2020-01-25T17:40:35Z,Peito bovino,Destroy Random,Distrito Federal,48.32,5
2020-01-25T17:40:35Z,Lagarto,Forel Library,Amapá,42.17,6
2020-01-27T17:40:35Z,Filé mingnon,FirstVictory,Amapá,14.95,57
2020-01-28T17:40:35Z,Capa do coxão mole,Random Riders,Ceará,38.59,33
2020-01-28T17:40:35Z,Maminha,TRUE Random,Piauí,26.31,90
2020-01-28T17:40:35Z,Contra filé,Authority Random,Pernambuco,32.68,94
2020-01-28T17:40:35Z,Chandanga,Adventures,Rondônia,32.28,58
2020-01-28T17:40:35Z,Chandanga,Pop-Culture,Região Nordeste,32.22,36
2020-01-28T17:40:35Z,Toucinho,Puzzles,Piauí,11.97,55
2020-01-28T17:40:35Z,Paleta bovino,FirstVictory,Mato Grosso,8.97,40
2020-01-28T17:40:35Z,Peito bovino,Cellar Random,Acre,48.06,86
2020-01-28T17:40:35Z,Costela Bovina,Lifestyle Random,Amazonas,36.57,45
2020-01-28T17:40:35Z,Paleta bovino,Radiate Random,Goiás,9.38,37
2020-01-29T17:40:35Z,Costela Bovina,Fleet Random,Rio de Janeiro,35.64,50
2020-01-29T17:40:35Z,Peito bovino,Million Random,Roraima,48.71,17
2020-01-29T17:40:35Z,Acém bovino,FursKips,Amazonas,11.65,10
2020-01-29T17:40:35Z,Cupim maturado,Sporadic Systems,Espírito Santo,10.76,54
2020-01-29T17:40:35Z,Peito bovino,FirstVictory,Alagoas,48.80,4
2020-01-29T17:40:35Z,Contra filé,Sense Random,Amazonas,31.79,4
2020-01-29T17:40:35Z,Lagarto,Sporadic Systems,Rondônia,41.63,94
2020-01-30T17:40:35Z,Filé mingnon,Vappa Shop,Tocantis,15.09,6
2020-01-30T17:40:35Z,Costelinha,Though Random,Maranhão,41.81,27
2020-01-30T17:40:35Z,Acém bovino,Random Repair,Alagoas,11.57,85
2020-01-30T17:40:35Z,Lombo,CraftCreate,Região Sul,36.18,38
2020-01-30T17:40:35Z,Picanha,Destroy Random,Acre,16.92,92
2020-01-30T17:40:35Z,Alcatra,FirstVictory,Rio de Janeiro,30.82,27
2020-01-30T17:40:35Z,Acém bovino,Random Row,Rio Grande do Norte,12.32,56
2020-01-30T17:40:35Z,Pernil com osso,Airhead,Rondônia,36.04,13
2020-01-30T17:40:35Z,Peito bovino,Puzzles,Rio Grande do Norte,48.34,47
2020-01-30T17:40:35Z,Picanha,Random Riders,Espírito Santo,16.06,26
2020-01-30T17:40:35Z,Filé mingnon,Though Random,Santa Catarina,14.80,75
2020-01-30T17:40:35Z,Contra filé,Nick Knacks,Minas Gerais,32.02,17
2020-02-01T17:40:35Z,Capa do contra filé,Essentials,Pará,21.89,24
2020-02-01T17:40:35Z,Peito bovino,In A Pinch,Acre,48.41,35
2020-02-01T17:40:35Z,Pexinho bovino,Pop-Culture,Mato Grosso,8.56,86
2020-02-01T17:40:35Z,Acém bovino,CraftCreate,Região Norte,11.49,56
2020-02-01T17:40:35Z,Alcatra,Cellar Random,Alagoas,30.66,16
2020-02-01T17:40:35Z,Acém bovino,Life Paths,Rio de Janeiro,12.03,67
2020-02-01T17:40:35Z,Pernil com osso,Spray Shop,Piauí,35.23,25
2020-02-01T17:40:35Z,Lagarto,Random Reason,Bahia,42.10,40
2020-02-01T17:40:35Z,Picanha,FirstVictory,Maranhão,16.75,16
2020-02-01T17:40:35Z,Picanha,Spray Shop,Rio de Janeiro,16.61,42
2020-02-01T17:40:35Z,Toucinho,Puzzles,Amapá,12.70,46
2020-02-01T17:40:35Z,Capa do coxão mole,Resource Refresh,Rio Grande do Sul,39.49,26
2020-02-01T17:40:35Z,Lagarto,FirstVictory,Maranhão,42.08,45
2020-02-01T17:40:35Z,Capa do contra filé,Nick Knacks,Alagoas,21.63,63
2020-02-01T17:40:35Z,Pernil com osso,Handy Help,Minas Gerais,35.36,2
2020-02-01T17:40:35Z,Costela Bovina,Spiritual Beings,Mato Grosso,35.72,42
2020-02-01T17:40:35Z,Acém bovino,Essentials,Minas Gerais,12.19,25
2020-02-03T17:40:35Z,Contra filé,PrimeHouse,Rio de Janeiro,31.33,18
2020-02-03T17:40:35Z,Contra filé,Authority Random,Tocantis,31.51,55
2020-02-03T17:40:35Z,Paleta bovino,Herb Random,Paraná,8.57,79
2020-02-03T17:40:35Z,Capa do contra filé,Odds And Ends,Maranhão,22.34,54
2020-02-03T17:40:35Z,Contra filé,FirstVictory,Região Sul,31.42,1
2020-02-03T17:40:35Z,Pernil com osso,In A Pinch,Pará,35.68,78
2020-02-03T17:40:35Z,Lagarto,Random Riders,Alagoas,43.89,59
2020-02-04T17:40:35Z,Costelinha,Random Row,Amazonas,42.11,7
2020-02-04T17:40:35Z,Cupim maturado,Empty Particles,Minas Gerais,10.43,75
2020-02-04T17:40:35Z,Filé mingnon,Muno Random,Rio Grande do Norte,15.16,27
2020-02-04T17:40:35Z,Acém bovino,Limner Studio,Maranhão,11.58,57
2020-02-04T17:40:35Z,Maminha,Spray Shop,Goiás,27.09,58
2020-02-04T17:40:35Z,Picanha,Eclipse Random,Maranhão,16.42,31
2020-02-04T17:40:35Z,Toucinho,DualLight,Maranhão,13.07,26
2020-02-04T17:40:35Z,Lagarto,Life Paths,Espírito Santo,43.41,58
2020-02-04T17:40:35Z,Capa do contra filé,Silence Center,Amazonas,22.07,74
2020-02-04T17:40:35Z,Maminha,Silence Center,Amapá,26.31,72
2020-02-04T17:40:35Z,Maminha,Vappa Shop,Rondônia,26.80,69
2020-02-04T17:40:35Z,Capa do coxão mole,Adventures,Acre,38.91,74
2020-02-04T17:40:35Z,Acém bovino,Spiritual Beings,Rio de Janeiro,12.21,89
2020-02-04T17:40:35Z,Filé mingnon,X Marks The Spot,Goiás,15.06,18
2020-02-04T17:40:35Z,Alcatra,Node Tech,Pernambuco,30.52,2
2020-02-04T17:40:35Z,Toucinho,Puzzles,Acre,13.02,72
2020-02-04T17:40:35Z,Chandanga,The Source,Roraima,33.17,96
2020-02-04T17:40:35Z,Acém bovino,Et Cetera Systems,Maranhão,11.69,21
2020-02-04T17:40:35Z,Contra filé,Et Cetera,Região Sul,31.28,34
2020-02-05T17:40:35Z,Pexinho bovino,Missed Opps,Ceará,8.04,25
2020-02-05T17:40:35Z,Pernil com osso,Odd And Ends,Ceará,35.21,22
2020-02-05T17:40:35Z,Lombo,Muno Random,Pernambuco,35.78,5
